date,datetime,shock_1y,shock_5y,isMain,isBroad,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF
2015-02-11,2015-02-10 17:47,-0.0366,0.01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2015-03-01,2015-03-01 15:38,0.055,0.02,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-03-03,2015-03-03 12:00,0,-0.0033,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-17,2015-03-17 12:00,-0.12,-0.0983,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-24,2015-03-24 12:00,-0.0617,-0.01,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-07,2015-04-07 12:00,-0.075,-0.0333,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-14,2015-04-14 12:00,-0.045,-0.06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-20,2015-04-19 17:01,-0.2483,-0.1917,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-05-09,2015-05-08 17:51,-0.0517,-0.0183,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2015-05-12,2015-05-11 18:18,-0.1,-0.035,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-06-25,2015-06-25 12:00,-0.08,-0.06,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-06-28,2015-06-28 15:44,-0.0467,-0.01,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2015-06-30,2015-06-30 12:00,-0.0833,-0.0483,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-08-08,2015-08-07 18:19,0.01,0.005,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2015-08-11,2015-08-11 12:00,0.075,0.085,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2015-08-26,2015-08-25 18:15,-0.15,-0.07,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
